"NUM_CLIENTE","MES_FAT","VALOR_FATURAMENTO"
9179,"Janeiro",555.46
9179,"Fevereiro",407.67
9179,"Março",312.68
9179,"Abril",1351.99
9179,"Maio",360.42
9179,"Junho",98.69
9179,"Julho",132.64
9179,"Agosto",911.69
9179,"Setembro",223.71
9179,"Outubro",937.34
9179,"Novembro",422.67
9179,"Dezembro",287.26
5844,"Janeiro",840.41
5844,"Fevereiro",1127.81
5844,"Março",714.87
5844,"Abril",176.53
5844,"Maio",563.02
5844,"Junho",734.26
5844,"Julho",43.61
5844,"Agosto",153.38
5844,"Setembro",793.1
5844,"Outubro",657.38
5844,"Novembro",740.96
5844,"Dezembro",419.4
2028,"Janeiro",629.59
2028,"Fevereiro",118.24
2028,"Março",825.78
2028,"Abril",396.89
2028,"Maio",985.53
2028,"Junho",98.97
2028,"Julho",129.12
2028,"Agosto",247.2
2028,"Setembro",16.05
2028,"Outubro",979.11
2028,"Novembro",362.88
2028,"Dezembro",1064.86
8041,"Janeiro",769.8
8041,"Fevereiro",812.99
8041,"Março",134.81
8041,"Abril",1371.1
8041,"Maio",327.22
8041,"Junho",1050.51
8041,"Julho",896.27
8041,"Agosto",1043.62
8041,"Setembro",864.67
8041,"Outubro",24.63
8041,"Novembro",122.92
8041,"Dezembro",398.85
2292,"Janeiro",529.85
2292,"Fevereiro",384.55
2292,"Março",350.04
2292,"Abril",728.06
2292,"Maio",403.94
2292,"Junho",178.37
2292,"Julho",1045.19
2292,"Agosto",711.41
2292,"Setembro",620.07
2292,"Outubro",279.15
2292,"Novembro",505.25
2292,"Dezembro",670.72
9591,"Janeiro",724.76
9591,"Fevereiro",362
9591,"Março",1167.67
9591,"Abril",31.1
9591,"Maio",793.06
9591,"Junho",744.65
9591,"Julho",777.35
9591,"Agosto",913.94
9591,"Setembro",502.1
9591,"Outubro",87.34
9591,"Novembro",394.4
9591,"Dezembro",151.19
3902,"Janeiro",280.75
3902,"Fevereiro",490.08
3902,"Março",793.19
3902,"Abril",279.54
3902,"Maio",111.35
3902,"Junho",917.59
3902,"Julho",267.01
3902,"Agosto",96.72
3902,"Setembro",652.07
3902,"Outubro",330.47
3902,"Novembro",543.72
3902,"Dezembro",1042.28
5363,"Janeiro",76.88
5363,"Fevereiro",1228.51
5363,"Março",85.82
5363,"Abril",1182.87
5363,"Maio",220.46
5363,"Junho",542.64
5363,"Julho",668.46
5363,"Agosto",1211.77
5363,"Setembro",820.46
5363,"Outubro",81.88
5363,"Novembro",782.21
5363,"Dezembro",591.59
9492,"Janeiro",5.72
9492,"Fevereiro",999.1
9492,"Março",364.06
9492,"Abril",211.16
9492,"Maio",1140.77
9492,"Junho",63.19
9492,"Julho",223.43
9492,"Agosto",45.42
9492,"Setembro",664.27
9492,"Outubro",228.81
9492,"Novembro",564.92
9492,"Dezembro",130.23
4842,"Janeiro",412.06
4842,"Fevereiro",75.1
4842,"Março",376.47
4842,"Abril",544.33
4842,"Maio",251.46
4842,"Junho",152.17
4842,"Julho",347.14
4842,"Agosto",315.01
4842,"Setembro",431.15
4842,"Outubro",813.92
4842,"Novembro",756.02
4842,"Dezembro",429.4
6898,"Janeiro",360.69
6898,"Fevereiro",133.33
6898,"Março",788.38
6898,"Abril",116.87
6898,"Maio",576.41
6898,"Junho",725.08
6898,"Julho",932.88
6898,"Agosto",1317.34
6898,"Setembro",822.09
6898,"Outubro",66.38
6898,"Novembro",721.74
6898,"Dezembro",498.88
6050,"Janeiro",240.24
6050,"Fevereiro",733.88
6050,"Março",656.85
6050,"Abril",753.3
6050,"Maio",773.31
6050,"Junho",578.89
6050,"Julho",415.58
6050,"Agosto",75.16
6050,"Setembro",587.49
6050,"Outubro",461.92
6050,"Novembro",857.34
6050,"Dezembro",93.8
1945,"Janeiro",125.55
1945,"Fevereiro",806.84
1945,"Março",796.05
1945,"Abril",439.86
1945,"Maio",591.67
1945,"Junho",1367.17
1945,"Julho",919.41
1945,"Agosto",132.41
1945,"Setembro",429.74
1945,"Outubro",750.61
1945,"Novembro",762.2
1945,"Dezembro",265.82
1075,"Janeiro",317.6
1075,"Fevereiro",156.33
1075,"Março",165.88
1075,"Abril",579.68
1075,"Maio",717.45
1075,"Junho",818.66
1075,"Julho",265.38
1075,"Agosto",736.77
1075,"Setembro",27.34
1075,"Outubro",565.8
1075,"Novembro",45.25
1075,"Dezembro",520.92
9734,"Janeiro",343.1
9734,"Fevereiro",21.44
9734,"Março",557.99
9734,"Abril",1233.3
9734,"Maio",804.18
9734,"Junho",606.03
9734,"Julho",101.16
9734,"Agosto",835.86
9734,"Setembro",504.01
9734,"Outubro",1120.75
9734,"Novembro",510.2
9734,"Dezembro",1450.04
1740,"Janeiro",941.44
1740,"Fevereiro",1052.2
1740,"Março",309.91
1740,"Abril",450.76
1740,"Maio",361.14
1740,"Junho",438.77
1740,"Julho",729.38
1740,"Agosto",785.82
1740,"Setembro",733.95
1740,"Outubro",714.47
1740,"Novembro",196.4
1740,"Dezembro",378.35
9268,"Janeiro",244.81
9268,"Fevereiro",786.88
9268,"Março",454.15
9268,"Abril",661.76
9268,"Maio",999.24
9268,"Junho",762.69
9268,"Julho",995.21
9268,"Agosto",848.35
9268,"Setembro",411.01
9268,"Outubro",263.65
9268,"Novembro",1332
9268,"Dezembro",570.91
187,"Janeiro",639.1
187,"Fevereiro",199.27
187,"Março",108.24
187,"Abril",382.49
187,"Maio",283.55
187,"Junho",948.21
187,"Julho",940.51
187,"Agosto",705.45
187,"Setembro",729.5
187,"Outubro",1001.24
187,"Novembro",685.07
187,"Dezembro",298.93
1632,"Janeiro",1146.31
1632,"Fevereiro",615.85
1632,"Março",9.7
1632,"Abril",76.16
1632,"Maio",890.8
1632,"Junho",647.77
1632,"Julho",1122.42
1632,"Agosto",787.36
1632,"Setembro",241.07
1632,"Outubro",1010.07
1632,"Novembro",150.82
1632,"Dezembro",1332.04
6715,"Janeiro",539.21
6715,"Fevereiro",1338.39
6715,"Março",205.39
6715,"Abril",224.05
6715,"Maio",280.03
6715,"Junho",543.7
6715,"Julho",378.01
6715,"Agosto",928.65
6715,"Setembro",383.55
6715,"Outubro",950.35
6715,"Novembro",1495.38
6715,"Dezembro",617.24
4304,"Janeiro",583.3
4304,"Fevereiro",558.79
4304,"Março",816.24
4304,"Abril",850.15
4304,"Maio",1141.13
4304,"Junho",755.41
4304,"Julho",313.25
4304,"Agosto",1047.45
4304,"Setembro",642.1
4304,"Outubro",582.5
4304,"Novembro",143.05
4304,"Dezembro",792.17
1330,"Janeiro",487.8
1330,"Fevereiro",796.17
1330,"Março",1306.05
1330,"Abril",752.78
1330,"Maio",342.5
1330,"Junho",641.02
1330,"Julho",1016.79
1330,"Agosto",1051.02
1330,"Setembro",650.74
1330,"Outubro",274.92
1330,"Novembro",195.94
1330,"Dezembro",127.73
590,"Janeiro",402.07
590,"Fevereiro",1378.71
590,"Março",634.6
590,"Abril",180.16
590,"Maio",691.51
590,"Junho",974.06
590,"Julho",203.23
590,"Agosto",698.13
590,"Setembro",227.53
590,"Outubro",624.32
590,"Novembro",398.16
590,"Dezembro",284.41
8656,"Janeiro",743.67
8656,"Fevereiro",910.86
8656,"Março",374.56
8656,"Abril",1220.28
