"NUM_CLIENTE","MES_MG","VALOR_MG_CONTRIBUICAO"
9179,"Janeiro",35.62
9179,"Fevereiro",31.26
9179,"Março",38.07
9179,"Abril",88.88
9179,"Maio",24.82
9179,"Junho",11.28
9179,"Julho",14.57
9179,"Agosto",91.65
9179,"Setembro",18.03
9179,"Outubro",82.34
9179,"Novembro",29.78
9179,"Dezembro",30.64
5844,"Janeiro",64.92
5844,"Fevereiro",92.37
5844,"Março",82.52
5844,"Abril",12.24
5844,"Maio",37.51
5844,"Junho",47.59
5844,"Julho",2.83
5844,"Agosto",12.51
5844,"Setembro",66.9
5844,"Outubro",81.84
5844,"Novembro",69.34
5844,"Dezembro",38.79
2028,"Janeiro",68.23
2028,"Fevereiro",11.21
2028,"Março",93.81
2028,"Abril",29.7
2028,"Maio",66.11
2028,"Junho",10.74
2028,"Julho",12.91
2028,"Agosto",20.65
2028,"Setembro",1.04
2028,"Outubro",63.46
2028,"Novembro",38.56
2028,"Dezembro",83.69
8041,"Janeiro",66.69
8041,"Fevereiro",67.77
8041,"Março",9.12
8041,"Abril",89.22
8041,"Maio",27.35
8041,"Junho",69.2
8041,"Julho",66.36
8041,"Agosto",67.66
8041,"Setembro",56.85
8041,"Outubro",1.89
8041,"Novembro",8.84
8041,"Dezembro",34.16
2292,"Janeiro",44.13
2292,"Fevereiro",46.53
2292,"Março",27.37
2292,"Abril",67.86
2292,"Maio",32.06
2292,"Junho",17.37
2292,"Julho",67.27
2292,"Agosto",53.63
2292,"Setembro",53.25
2292,"Outubro",17.94
2292,"Novembro",57.78
2292,"Dezembro",52.23
9591,"Janeiro",73.62
9591,"Fevereiro",42.92
9591,"Março",80.61
9591,"Abril",2.41
9591,"Maio",77.86
9591,"Junho",60.18
9591,"Julho",91.06
9591,"Agosto",73.02
9591,"Setembro",36.34
9591,"Outubro",6.93
9591,"Novembro",49.01
9591,"Dezembro",16.14
3902,"Janeiro",24.84
3902,"Fevereiro",39.56
3902,"Março",61.86
3902,"Abril",32.69
3902,"Maio",8.28
3902,"Junho",62.01
3902,"Julho",29.04
3902,"Agosto",9.52
3902,"Setembro",50.29
3902,"Outubro",24.12
3902,"Novembro",35.83
3902,"Dezembro",97.92
5363,"Janeiro",6.91
5363,"Fevereiro",79.14
5363,"Março",6.44
5363,"Abril",81.7
5363,"Maio",15.51
5363,"Junho",39.94
5363,"Julho",51.54
5363,"Agosto",94.93
5363,"Setembro",59.8
5363,"Outubro",9.86
5363,"Novembro",99.96
5363,"Dezembro",68.78
9492,"Janeiro",0.52
9492,"Fevereiro",77.37
9492,"Março",34.8
9492,"Abril",23.53
9492,"Maio",82.97
9492,"Junho",4.77
9492,"Julho",21.68
9492,"Agosto",3.32
9492,"Setembro",55.44
9492,"Outubro",17.9
9492,"Novembro",60.52
9492,"Dezembro",15.63
4842,"Janeiro",50.2
4842,"Fevereiro",5.12
4842,"Março",42.89
4842,"Abril",48.76
4842,"Maio",21.49
4842,"Junho",15.56
4842,"Julho",40.72
4842,"Agosto",27.34
4842,"Setembro",36.44
4842,"Outubro",81.25
4842,"Novembro",86.78
4842,"Dezembro",30.19
6898,"Janeiro",25.3
6898,"Fevereiro",12.02
6898,"Março",59.77
6898,"Abril",11.27
6898,"Maio",72.44
6898,"Junho",57.33
6898,"Julho",71.74
6898,"Agosto",86.13
6898,"Setembro",78.69
6898,"Outubro",6.01
6898,"Novembro",46.6
6898,"Dezembro",49.07
6050,"Janeiro",16.63
6050,"Fevereiro",59.2
6050,"Março",75.07
6050,"Abril",49.06
6050,"Maio",89.51
6050,"Junho",54.49
6050,"Julho",35.92
6050,"Agosto",7.07
6050,"Setembro",39.8
6050,"Outubro",41.51
6050,"Novembro",70.37
6050,"Dezembro",11.95
1945,"Janeiro",13.49
1945,"Fevereiro",72.88
1945,"Março",87.17
1945,"Abril",29.82
1945,"Maio",56.12
1945,"Junho",98.5
1945,"Julho",70.3
1945,"Agosto",9.57
1945,"Setembro",42.64
1945,"Outubro",77.68
1945,"Novembro",71.26
1945,"Dezembro",17.93
1075,"Janeiro",22.27
1075,"Fevereiro",16.74
1075,"Março",12.34
1075,"Abril",69.58
1075,"Maio",68.84
1075,"Junho",65.28
1075,"Julho",20.99
1075,"Agosto",54.83
1075,"Setembro",1.75
1075,"Outubro",38.83
1075,"Novembro",3.12
1075,"Dezembro",49.03
9734,"Janeiro",22.08
9734,"Fevereiro",1.52
9734,"Março",47.33
9734,"Abril",97.59
9734,"Maio",66.85
9734,"Junho",38.92
9734,"Julho",7.74
9734,"Agosto",99.59
9734,"Setembro",49.36
9734,"Outubro",83.66
9734,"Novembro",51
9734,"Dezembro",97.41
1740,"Janeiro",76.5
1740,"Fevereiro",77.98
1740,"Março",22.14
1740,"Abril",48.66
1740,"Maio",27.25
1740,"Junho",40.86
1740,"Julho",76.14
1740,"Agosto",66.42
1740,"Setembro",69.18
1740,"Outubro",46.02
1740,"Novembro",19.14
1740,"Dezembro",42.09
9268,"Janeiro",27.7
9268,"Fevereiro",51.54
9268,"Março",39.03
9268,"Abril",79.83
9268,"Maio",65.19
9268,"Junho",52.34
9268,"Julho",68.01
9268,"Agosto",72.79
9268,"Setembro",42.34
9268,"Outubro",21.29
9268,"Novembro",89.18
9268,"Dezembro",53.16
187,"Janeiro",67.97
187,"Fevereiro",15.12
187,"Março",10.64
187,"Abril",30.86
187,"Maio",19.48
187,"Junho",71.14
187,"Julho",78.77
187,"Agosto",74.38
187,"Setembro",54.32
